filename,width,height,class,xmin,ymin,xmax,ymax
set1_frame8.jpg,359,180,CSD,186,128,189,133
set1_frame9.jpg,359,180,CSD,185,128,190,135
set1_frame10.jpg,359,180,CSD,184,128,191,136
set1_frame12.jpg,359,180,CSD,183,127,192,138
set1_frame13.jpg,359,180,CSD,183,126,192,138
set1_frame14.jpg,359,180,CSD,182,124,193,139
set1_frame15.jpg,359,180,CSD,181,123,194,140
set1_frame17.jpg,359,180,CSD,180,122,194,140
set1_frame18.jpg,359,180,CSD,173,128,175,130
set1_frame18.jpg,359,180,CSD,178,121,194,141
set1_frame19.jpg,359,180,CSD,173,125,175,131
set1_frame19.jpg,359,180,CSD,177,120,194,142
set1_frame20.jpg,359,180,CSD,173,124,175,131
set1_frame20.jpg,359,180,CSD,176,120,194,143
set1_frame22.jpg,359,180,CSD,171,119,193,143
set1_frame23.jpg,359,180,CSD,170,119,193,143
set1_frame24.jpg,359,180,CSD,169,118,193,144
set1_frame25.jpg,359,180,CSD,169,117,193,144
set1_frame27.jpg,359,180,CSD,169,113,194,145
set1_frame28.jpg,359,180,CSD,168,111,194,145
set1_frame29.jpg,359,180,CSD,168,110,195,145
set1_frame30.jpg,359,180,CSD,168,111,196,145
set1_frame32.jpg,359,180,CSD,167,111,197,145
set1_frame33.jpg,359,180,CSD,167,111,197,146
set1_frame34.jpg,359,180,CSD,167,110,197,146
set1_frame35.jpg,359,180,CSD,166,111,198,146
set1_frame37.jpg,359,180,CSD,164,112,198,146
set1_frame38.jpg,359,180,CSD,164,112,198,147
set1_frame39.jpg,359,180,CSD,161,112,198,147
set1_frame40.jpg,359,180,CSD,161,111,199,148
set1_frame42.jpg,359,180,CSD,160,110,200,148
set1_frame43.jpg,359,180,CSD,160,110,201,149
set1_frame44.jpg,359,180,CSD,160,110,201,149
set1_frame45.jpg,359,180,CSD,160,109,202,149
set1_frame47.jpg,359,180,CSD,160,109,201,149
set1_frame48.jpg,359,180,CSD,159,109,201,149
set1_frame49.jpg,359,180,CSD,159,109,201,149
set1_frame50.jpg,359,180,CSD,159,109,201,149
set1_frame52.jpg,359,180,CSD,160,109,201,149
set1_frame53.jpg,359,180,CSD,160,109,201,148
set1_frame54.jpg,359,180,CSD,160,109,201,149
set1_frame55.jpg,359,180,CSD,160,109,202,149
set1_frame57.jpg,359,180,CSD,160,107,203,150
set1_frame58.jpg,359,180,CSD,160,106,203,151
set1_frame59.jpg,359,180,CSD,160,106,203,151
set1_frame60.jpg,359,180,CSD,160,105,203,152
set1_frame62.jpg,359,180,CSD,159,104,203,152
set1_frame63.jpg,359,180,CSD,158,103,203,152
set1_frame64.jpg,359,180,CSD,158,102,204,152
set1_frame65.jpg,359,180,CSD,158,101,204,152
set1_frame67.jpg,359,180,CSD,159,101,204,152
set1_frame68.jpg,359,180,CSD,158,102,204,152
set1_frame69.jpg,359,180,CSD,158,102,205,152
set1_frame70.jpg,359,180,CSD,158,102,205,152
set1_frame72.jpg,359,180,CSD,158,101,206,152
set1_frame73.jpg,359,180,CSD,158,101,207,152
set1_frame74.jpg,359,180,CSD,158,101,207,152
